,TIME_STAMP,SPEED_VG,SPEED_LW
0,2017-04-02 18:40:00,14.758333206176758,14.994416236877441
1,2017-04-02 19:00:00,14.814166069030762,15.00724983215332
2,2017-04-02 19:20:00,14.686554908752441,14.95638656616211
3,2017-04-02 19:40:00,14.729999542236328,15.013999938964844
4,2017-04-02 20:00:00,14.705833435058594,15.008166313171387
5,2017-04-02 20:20:00,14.757499694824219,15.033249855041504
6,2017-04-02 20:40:00,14.893333435058594,15.047916412353516
7,2017-04-02 21:00:00,15.117500305175781,14.928250312805176
8,2017-04-02 21:40:00,15.338333129882812,14.878833770751953
9,2017-04-04 11:20:00,14.551667213439941,14.885916709899902
10,2017-04-04 11:40:00,14.512499809265137,14.984416961669922
11,2017-04-04 12:00:00,14.210833549499512,14.959083557128906
12,2017-04-04 12:20:00,13.895833015441895,14.753250122070312
13,2017-04-04 13:40:00,14.500833511352539,14.800999641418457
14,2017-04-04 14:00:00,14.622689247131348,14.887478828430176
15,2017-04-04 14:20:00,14.505833625793457,14.897749900817871
16,2017-04-04 14:40:00,14.932499885559082,15.10283374786377
17,2017-04-04 15:00:00,14.889166831970215,14.952750205993652
18,2017-04-04 15:20:00,15.130833625793457,15.114250183105469
19,2017-04-04 15:40:00,14.814166069030762,15.053999900817871
20,2017-05-16 07:00:00,13.11500072479248,13.177833557128906
21,2017-05-16 07:20:00,13.393333435058594,13.255000114440918
22,2017-05-16 07:40:00,13.390755653381348,13.29991626739502
23,2017-05-16 08:00:00,13.293333053588867,13.277000427246094
24,2017-05-16 08:20:00,13.208333015441895,13.252249717712402
25,2017-05-16 08:40:00,13.419166564941406,13.219583511352539
26,2017-05-16 09:00:00,13.584166526794434,13.231833457946777
27,2017-05-16 09:20:00,13.599166870117188,13.266166687011719
28,2017-05-16 09:40:00,13.643333435058594,13.293167114257812
29,2017-05-16 10:00:00,13.71500015258789,13.280750274658203
30,2017-05-16 10:20:00,13.939496040344238,13.242940902709961
31,2017-05-16 10:40:00,14.09416675567627,13.287666320800781
32,2017-05-16 11:00:00,13.758333206176758,13.281167030334473
33,2017-05-16 11:20:00,13.624166488647461,13.320250511169434
34,2017-05-16 11:40:00,13.657500267028809,13.305500030517578
35,2017-05-16 12:00:00,13.679166793823242,13.33133316040039
36,2017-05-16 12:20:00,13.558333396911621,13.397749900817871
37,2017-05-16 12:40:00,13.444999694824219,13.407833099365234
38,2017-05-16 13:00:00,13.233333587646484,13.306917190551758
39,2017-05-16 13:20:00,13.449580192565918,13.273025512695312
40,2017-05-16 13:40:00,13.814167022705078,13.286582946777344
41,2017-05-16 14:00:00,14.135833740234375,13.433666229248047
42,2017-05-16 14:20:00,13.685832977294922,13.39466667175293
43,2017-05-16 14:40:00,13.466666221618652,13.37891674041748
44,2017-05-16 15:00:00,13.324999809265137,13.34433364868164
45,2017-05-16 15:20:00,13.540833473205566,13.268083572387695
46,2017-05-16 15:40:00,13.782500267028809,13.39091682434082
47,2017-05-16 16:00:00,13.714285850524902,13.448907852172852
48,2017-05-16 16:20:00,13.542500495910645,13.41825008392334
49,2017-05-16 16:40:00,13.566666603088379,13.371000289916992
50,2017-05-16 17:00:00,13.640833854675293,13.406332969665527
51,2017-05-16 17:20:00,13.598333358764648,13.345166206359863
52,2017-05-16 17:40:00,13.582500457763672,13.41116714477539
53,2017-05-16 18:00:00,13.463333129882812,13.436083793640137
54,2017-05-16 18:20:00,13.423333168029785,13.42158317565918
55,2017-05-16 18:40:00,13.300000190734863,13.544666290283203
56,2017-05-16 19:00:00,13.038655281066895,13.521596908569336
57,2017-05-16 19:20:00,13.09083366394043,13.466083526611328
58,2017-05-16 19:40:00,13.245833396911621,13.449832916259766
59,2017-05-16 20:00:00,13.213333129882812,13.527083396911621
60,2017-05-16 20:20:00,13.254166603088379,13.362916946411133
61,2017-05-16 20:40:00,13.388333320617676,13.43316650390625
62,2017-05-16 21:00:00,13.234999656677246,13.538749694824219
63,2017-05-16 21:20:00,12.935832977294922,13.504416465759277
64,2017-05-16 21:40:00,12.7932767868042,13.409832000732422
65,2017-05-16 22:00:00,13.244166374206543,13.411582946777344
66,2017-05-16 22:20:00,13.34416675567627,13.458916664123535
67,2017-05-16 22:40:00,13.71166706085205,13.345999717712402
68,2017-05-16 23:00:00,14.224166870117188,13.441583633422852
69,2017-05-16 23:20:00,14.291666984558105,13.568916320800781
70,2017-05-16 23:40:00,13.925833702087402,13.590749740600586
71,2017-05-17 00:00:00,13.81637954711914,13.58629322052002
72,2017-05-17 00:20:00,13.925000190734863,13.476750373840332
73,2017-05-17 00:40:00,13.920832633972168,13.513333320617676
74,2017-05-17 01:00:00,13.849166870117188,13.607583045959473
75,2017-05-17 01:20:00,13.725000381469727,13.547333717346191
76,2017-05-17 01:40:00,13.629166603088379,13.568833351135254
77,2017-05-17 02:00:00,13.524999618530273,13.60433292388916
78,2017-05-17 02:20:00,13.525833129882812,13.493083000183105
79,2017-05-17 02:40:00,13.684033393859863,13.564789772033691
80,2017-05-17 03:00:00,13.856666564941406,13.527750015258789
81,2017-05-17 03:20:00,13.970832824707031,13.596583366394043
82,2017-05-17 03:40:00,13.894165992736816,13.628250122070312
83,2017-05-17 04:00:00,14.004166603088379,13.595749855041504
84,2017-05-17 04:20:00,14.0024995803833,13.674166679382324
85,2017-05-17 04:40:00,14.237500190734863,13.592416763305664
86,2017-05-17 05:00:00,14.150833129882812,13.699250221252441
87,2017-05-17 05:20:00,14.278151512145996,13.673445701599121
88,2017-05-17 05:40:00,14.258333206176758,13.59433364868164
